mm_trailing	03	y_pred	errerr
CN	-0.718	-0.804	0.073
NG	-0.811	-0.815	0.082
CA	-0.277	-0.249	0.088
TN	-0.654	-0.626	0.090
GT	-0.245	-0.317	0.091
AG	-0.274	-0.320	0.099
CG	-0.283	-0.283	0.099
TA	-0.325	-0.301	0.101
AN	-0.639	-0.706	0.101
TG	-0.274	-0.237	0.102
CT	-0.346	-0.330	0.102
AA	-0.267	-0.311	0.105
CC	-0.222	-0.281	0.105
GN	-0.576	-0.563	0.107
GG	-0.187	-0.327	0.111
AC	-0.269	-0.371	0.114
GA	-0.283	-0.240	0.115
TC	-0.263	-0.362	0.116
AT	-0.258	-0.278	0.118
GC	-0.293	-0.189	0.121
TT	-0.376	-0.425	0.123
